"model","dataset","few_shot","accuracy","correct","total","date_last_modified"
"mlx/community/Llama/3.2/3B/8bit","GSM8K","4","0.76","10","1315","2026-02-06 10:44"
"mlx/community/Llama/3.2/3B/Instruct","GSM8K","4","56.41","744","1319","2026-02-06 10:45"
"mlx/community/Mistral/7B/Instruct/v0.3/8bit","GSM8K","4","47.26","622","1316","2026-02-06 10:45"
"mlx/community/Qwen3/0.6B/bf16","GSM8K","4","36.47","481","1319","2026-02-06 13:07"
"mlx/community/Llama/3.2/1B/Instruct/MLXTuned","GSM8K","4","26.08","344","1319","2026-02-07 15:47"
